fare_id,price
F_1,13.0
F_2,13.0
F_3,20.0
F_4,27.0
F_5,27.0
F_6,29.0
F_7,33.0
F_8,37.0
F_9,43.0
F_10,51.0
F_11,53.0
F_12,60.0
F_13,63.0
F_14,71.0
F_15,47.0
F_16,47.0
F_17,43.0
F_18,43.0
F_19,37.0
F_20,37.0
F_21,33.0
F_22,29.0
F_23,27.0
F_24,20.0
F_25,27.0
F_26,29.0
F_27,33.0
F_28,33.0
F_29,33.0
F_30,29.0
F_31,27.0
F_32,27.0
F_33,20.0
F_34,13.0
F_35,13.0
F_36,13.0
F_37,20.0
F_38,27.0
F_39,29.0
F_40,33.0
F_41,43.0
F_42,47.0
F_43,80.0
F_44,73.0
F_45,73.0
F_46,71.0
F_47,67.0
F_48,63.0
F_49,60.0
F_50,53.0
F_51,51.0
F_52,47.0
F_53,51.0
F_54,51.0
F_55,53.0
F_56,47.0
F_57,47.0
F_58,43.0
F_59,37.0
F_60,47.0
F_61,51.0
F_62,13.0
F_63,13.0
F_64,20.0
F_65,27.0
F_66,27.0
F_67,29.0
F_68,33.0
F_69,37.0
F_70,43.0
F_71,47.0
F_72,53.0
F_73,60.0
F_74,63.0
F_75,67.0
F_76,47.0
F_77,43.0
F_78,43.0
F_79,37.0
F_80,37.0
F_81,33.0
F_82,33.0
F_83,29.0
F_84,27.0
F_85,20.0
F_86,27.0
F_87,27.0
F_88,29.0
F_89,33.0
F_90,33.0
F_91,29.0
F_92,29.0
F_93,27.0
F_94,27.0
F_95,20.0
F_96,13.0
F_97,20.0
F_98,27.0
F_99,27.0
F_100,33.0
F_101,37.0
F_102,43.0
F_103,51.0
F_104,73.0
F_105,73.0
F_106,71.0
F_107,71.0
F_108,63.0
F_109,63.0
F_110,60.0
F_111,53.0
F_112,47.0
F_113,47.0
F_114,47.0
F_115,51.0
F_116,51.0
F_117,47.0
F_118,43.0
F_119,43.0
F_120,37.0
F_121,43.0
F_122,47.0
F_123,13.0
F_124,13.0
F_125,13.0
F_126,20.0
F_127,20.0
F_128,27.0
F_129,29.0
F_130,33.0
F_131,37.0
F_132,47.0
F_133,51.0
F_134,53.0
F_135,60.0
F_136,67.0
F_137,43.0
F_138,43.0
F_139,37.0
F_140,37.0
F_141,33.0
F_142,33.0
F_143,29.0
F_144,27.0
F_145,20.0
F_146,13.0
F_147,20.0
F_148,27.0
F_149,29.0
F_150,29.0
F_151,33.0
F_152,33.0
F_153,29.0
F_154,29.0
F_155,27.0
F_156,20.0
F_157,13.0
F_158,20.0
F_159,27.0
F_160,29.0
F_161,33.0
F_162,37.0
F_163,47.0
F_164,51.0
F_165,73.0
F_166,71.0
F_167,71.0
F_168,67.0
F_169,63.0
F_170,60.0
F_171,53.0
F_172,51.0
F_173,47.0
F_174,43.0
F_175,47.0
F_176,47.0
F_177,51.0
F_178,43.0
F_179,43.0
F_180,37.0
F_181,33.0
