kanaka_line,lat,lon,
Heelalige,12.81332561,77.71113936,"12.813325610370285, 77.71113936061985"
Bommasandra,12.82386163,77.71233959,"12.823861628171207, 77.71233958912129"
Singena Agrahara,12.83439467,77.71280623,"12.83439466639853, 77.71280622990933"
Huskuru,12.85803089,77.71061455,"12.85803089456885, 77.71061454683867"
Ambedkar Nagar,12.89860076,77.70674417,"12.898600762238146, 77.70674417482273"
Carmelaram,12.90741427,77.70591556,"12.907414267390735, 77.70591556288151"
Belandur Road,12.93725962,77.70731121,"12.937259618941612, 77.70731120844475"
Marathahalli,12.9565408,77.70467505,"12.956540799780667, 77.70467504852134"
Kaggadasapura,12.98366223,77.67987307,"12.983662234297414, 77.67987307392609"
Benniganahalli,12.99381035,77.66458924,"12.993810353376654, 77.66458923626251"
Channasandra,13.00966511,77.66344048,"13.009665112403605, 77.66344048042372"
Horamavu,13.03084447,77.65479458,"13.030844472748992, 77.65479458345891"
Hennur,13.03772253,77.64917228,"13.037722531957163, 77.64917227695186"
Tanisandra,13.05609393,77.63648965,"13.056093933427354, 77.63648964786786"
Hegde Nagara,13.06516262,77.62643252,"13.065162622741823, 77.62643251986563"
Jakkur,13.07111745,77.61961356,"13.071117446802125, 77.61961356483614"
Yelahanka,13.1049859,77.59179355,"13.1049859, 77.59179355"
Muddenahalli,13.14529054,77.57063946,"13.145290535932928, 77.5706394591702"
Rajankunte,13.17468611,77.56546953,"13.174686111978323, 77.56546953428227"
