mallige_line,lat,lon,
Baiyyappanahalli Panel,12.99527113,77.66368767,"12.99527113113914, 77.66368767468796"
Kasturi Nagar,13.00395004,77.6558045,"13.003950043468285, 77.65580449619188"
Sevanagar,13.00547767,77.64418068,"13.005477665236342, 77.64418068026029"
Banaswadi,13.00589578,77.62819033,"13.005895780542605, 77.6281903315627"
Kaveri Nagar,13.01876035,77.62343552,"13.018760350264754, 77.62343552341737"
Nagavara,13.02532007,77.62145541,"13.025320073445021, 77.62145540626597"
Kanakanagar,13.03822834,77.61025379,"13.038228341243194, 77.61025378633425"
Hebbal,13.0425652,77.58621339,"13.042565200756655, 77.58621339075782"
Lottegollahalli,13.04363044,77.56315638,"13.04363044, 77.56315638"
Yeshwantpura,13.0237486,77.55171098,"13.0237486, 77.55171098"
Jalahalli,13.04392807,77.53980484,"13.043928072199813, 77.5398048373199"
Shettyhalli,13.06753862,77.51584263,"13.067538619508847, 77.51584263425619"
Myadarahalli,13.06916319,77.51177351,"13.06916319048861, 77.51177351314448"
Chikkabanavara,13.07486296,77.50579004,"13.074862963067368, 77.50579003829459"
