stop_id,stop_name,stop_lat,stop_lon
S_1,KSR Bengaluru City,12.97847836,77.56951936
S_2,Srirampura,12.99566139,77.56691292
S_3,Malleswaram,13.0004259,77.56359061
S_4,Yeshwantpura,13.0237486,77.55171098
S_5,Muthyalanagar,13.03862155,77.55869141
S_6,Lottegollahalli,13.04363044,77.56315638
S_7,Kodigehalli,13.06305805,77.57595153
S_8,Judicial layout,13.07754266,77.5907039
S_9,Yelahanka,13.1049859,77.59179355
S_10,Nitte Meenakshi,13.13022671,77.58642991
S_11,Bettahalasuru,13.16622993,77.60445251
S_12,Doddajala,13.18343497,77.65221226
S_13,Airport Trumpet,13.19858623,77.65863363
S_14,Airport KIADB,13.21066799,77.67606418
S_15,Devanahalli,13.24750745,77.70539292
M_1,Baiyyappanahalli Panel,12.99527113,77.66368767
M_2,Kasturi Nagar,13.00395004,77.6558045
M_3,Sevanagar,13.00547767,77.64418068
M_4,Banaswadi,13.00589578,77.62819033
M_5,Kaveri Nagar,13.01876035,77.62343552
M_6,Nagavara,13.02532007,77.62145541
M_7,Kanakanagar,13.03822834,77.61025379
M_8,Hebbal,13.0425652,77.58621339
M_9,Lottegollahalli,13.04363044,77.56315638
M_10,Yeshwantpura,13.0237486,77.55171098
M_11,Jalahalli,13.04392807,77.53980484
M_12,Shettyhalli,13.06753862,77.51584263
M_13,Myadarahalli,13.06916319,77.51177351
M_14,Chikkabanavara,13.07486296,77.50579004
P_1,Kengeri,12.91736756,77.48404971
P_2,RV college,12.92399449,77.49480009
P_3,Jnanabharathi,12.9351539,77.51102127
P_4,Nayandahalli,12.94171027,77.52130292
P_5,Krishnadevaraya,12.95809809,77.53947365
P_6,Jagajeevanramnagar,12.96604618,77.54969883
P_7,KSR Bengaluru City,12.97847836,77.56951936
P_8,Kumara Park,12.99185852,77.58027682
P_9,Bengaluru Cantt,12.99372249,77.5980427
P_10,Bengaluru East,13.00135884,77.61821308
P_11,Baiyyappanahalli,12.9913663,77.65322494
P_12,Krishnarajapuram,13.00081797,77.67476076
P_13,Hoodi,12.99614041,77.71864259
P_14,White Field,12.99598053,77.76154357
K_1,Heelalige,12.81332561,77.71113936
K_2,Bommasandra,12.82386163,77.71233959
K_3,Singena Agrahara,12.83439467,77.71280623
K_4,Huskuru,12.85803089,77.71061455
K_5,Ambedkar Nagar,12.89860076,77.70674417
K_6,Carmelaram,12.90741427,77.70591556
K_7,Belandur Road,12.93725962,77.70731121
K_8,Marathahalli,12.9565408,77.70467505
K_9,Kaggadasapura,12.98366223,77.67987307
K_10,Benniganahalli,12.99381035,77.66458924
K_11,Channasandra,13.00966511,77.66344048
K_12,Horamavu,13.03084447,77.65479458
K_13,Hennur,13.03772253,77.64917228
K_14,Tanisandra,13.05609393,77.63648965
K_15,Hegde Nagara,13.06516262,77.62643252
K_16,Jakkur,13.07111745,77.61961356
K_17,Yelahanka,13.1049859,77.59179355
K_18,Muddenahalli,13.14529054,77.57063946
K_19,Rajankunte,13.17468611,77.56546953
