trip_id,arrival_time,stop_id,sequence_id,departure_time
SK_1,2023-03-21 05:00:00,S_1,0,2023-03-21 05:00:00
SK_1,2023-03-21 05:03:00,S_2,1,2023-03-21 05:03:00
SK_1,2023-03-21 05:06:00,S_3,2,2023-03-21 05:06:00
SK_1,2023-03-21 05:12:00,S_4,3,2023-03-21 05:12:00
SK_1,2023-03-21 05:17:00,S_5,4,2023-03-21 05:17:00
SK_1,2023-03-21 05:21:00,S_6,5,2023-03-21 05:21:00
SK_1,2023-03-21 05:27:00,S_7,6,2023-03-21 05:27:00
SK_1,2023-03-21 05:31:00,S_8,7,2023-03-21 05:31:00
SK_1,2023-03-21 05:38:00,S_9,8,2023-03-21 05:38:00
SK_1,2023-03-21 05:44:00,S_10,9,2023-03-21 05:44:00
SK_1,2023-03-21 05:53:00,S_11,10,2023-03-21 05:53:00
SK_1,2023-03-21 06:01:00,S_12,11,2023-03-21 06:01:00
SK_1,2023-03-21 06:09:00,S_13,12,2023-03-21 06:09:00
SK_1,2023-03-21 06:13:00,S_14,13,2023-03-21 06:13:00
SK_1,2023-03-21 06:23:00,S_15,14,2023-03-21 06:23:00
SK_2,2023-03-21 05:30:00,S_1,0,2023-03-21 05:30:00
SK_2,2023-03-21 05:33:00,S_2,1,2023-03-21 05:33:00
SK_2,2023-03-21 05:36:00,S_3,2,2023-03-21 05:36:00
SK_2,2023-03-21 05:42:00,S_4,3,2023-03-21 05:42:00
SK_2,2023-03-21 05:47:00,S_5,4,2023-03-21 05:47:00
SK_2,2023-03-21 05:51:00,S_6,5,2023-03-21 05:51:00
SK_2,2023-03-21 05:57:00,S_7,6,2023-03-21 05:57:00
SK_2,2023-03-21 06:01:00,S_8,7,2023-03-21 06:01:00
SK_2,2023-03-21 06:08:00,S_9,8,2023-03-21 06:08:00
SK_2,2023-03-21 06:14:00,S_10,9,2023-03-21 06:14:00
SK_2,2023-03-21 06:23:00,S_11,10,2023-03-21 06:23:00
SK_2,2023-03-21 06:31:00,S_12,11,2023-03-21 06:31:00
SK_2,2023-03-21 06:39:00,S_13,12,2023-03-21 06:39:00
SK_2,2023-03-21 06:43:00,S_14,13,2023-03-21 06:43:00
SK_2,2023-03-21 06:53:00,S_15,14,2023-03-21 06:53:00
SK_3,2023-03-21 06:00:00,S_1,0,2023-03-21 06:00:00
SK_3,2023-03-21 06:03:00,S_2,1,2023-03-21 06:03:00
SK_3,2023-03-21 06:06:00,S_3,2,2023-03-21 06:06:00
SK_3,2023-03-21 06:12:00,S_4,3,2023-03-21 06:12:00
SK_3,2023-03-21 06:17:00,S_5,4,2023-03-21 06:17:00
SK_3,2023-03-21 06:21:00,S_6,5,2023-03-21 06:21:00
SK_3,2023-03-21 06:27:00,S_7,6,2023-03-21 06:27:00
SK_3,2023-03-21 06:31:00,S_8,7,2023-03-21 06:31:00
SK_3,2023-03-21 06:38:00,S_9,8,2023-03-21 06:38:00
SK_3,2023-03-21 06:44:00,S_10,9,2023-03-21 06:44:00
SK_3,2023-03-21 06:53:00,S_11,10,2023-03-21 06:53:00
SK_3,2023-03-21 07:01:00,S_12,11,2023-03-21 07:01:00
SK_3,2023-03-21 07:09:00,S_13,12,2023-03-21 07:09:00
SK_3,2023-03-21 07:13:00,S_14,13,2023-03-21 07:13:00
SK_3,2023-03-21 07:23:00,S_15,14,2023-03-21 07:23:00
SK_4,2023-03-21 06:20:00,S_1,0,2023-03-21 06:20:00
SK_4,2023-03-21 06:23:00,S_2,1,2023-03-21 06:23:00
SK_4,2023-03-21 06:26:00,S_3,2,2023-03-21 06:26:00
SK_4,2023-03-21 06:32:00,S_4,3,2023-03-21 06:32:00
SK_4,2023-03-21 06:37:00,S_5,4,2023-03-21 06:37:00
SK_4,2023-03-21 06:41:00,S_6,5,2023-03-21 06:41:00
SK_4,2023-03-21 06:47:00,S_7,6,2023-03-21 06:47:00
SK_4,2023-03-21 06:51:00,S_8,7,2023-03-21 06:51:00
SK_4,2023-03-21 06:58:00,S_9,8,2023-03-21 06:58:00
SK_4,2023-03-21 07:04:00,S_10,9,2023-03-21 07:04:00
SK_4,2023-03-21 07:13:00,S_11,10,2023-03-21 07:13:00
SK_4,2023-03-21 07:21:00,S_12,11,2023-03-21 07:21:00
SK_4,2023-03-21 07:29:00,S_13,12,2023-03-21 07:29:00
SK_4,2023-03-21 07:33:00,S_14,13,2023-03-21 07:33:00
SK_4,2023-03-21 07:43:00,S_15,14,2023-03-21 07:43:00
SK_5,2023-03-21 06:40:00,S_1,0,2023-03-21 06:40:00
SK_5,2023-03-21 06:43:00,S_2,1,2023-03-21 06:43:00
SK_5,2023-03-21 06:46:00,S_3,2,2023-03-21 06:46:00
SK_5,2023-03-21 06:52:00,S_4,3,2023-03-21 06:52:00
SK_5,2023-03-21 06:57:00,S_5,4,2023-03-21 06:57:00
SK_5,2023-03-21 07:01:00,S_6,5,2023-03-21 07:01:00
SK_5,2023-03-21 07:07:00,S_7,6,2023-03-21 07:07:00
SK_5,2023-03-21 07:11:00,S_8,7,2023-03-21 07:11:00
SK_5,2023-03-21 07:18:00,S_9,8,2023-03-21 07:18:00
SK_5,2023-03-21 07:24:00,S_10,9,2023-03-21 07:24:00
SK_5,2023-03-21 07:33:00,S_11,10,2023-03-21 07:33:00
SK_5,2023-03-21 07:41:00,S_12,11,2023-03-21 07:41:00
SK_5,2023-03-21 07:49:00,S_13,12,2023-03-21 07:49:00
SK_5,2023-03-21 07:53:00,S_14,13,2023-03-21 07:53:00
SK_5,2023-03-21 08:03:00,S_15,14,2023-03-21 08:03:00
SK_6,2023-03-21 07:00:00,S_1,0,2023-03-21 07:00:00
SK_6,2023-03-21 07:03:00,S_2,1,2023-03-21 07:03:00
SK_6,2023-03-21 07:06:00,S_3,2,2023-03-21 07:06:00
SK_6,2023-03-21 07:12:00,S_4,3,2023-03-21 07:12:00
SK_6,2023-03-21 07:17:00,S_5,4,2023-03-21 07:17:00
SK_6,2023-03-21 07:21:00,S_6,5,2023-03-21 07:21:00
