trip_id,route_id
SK_1,SK
SK_2,SK
SK_3,SK
SK_4,SK
SK_5,SK
SK_6,SK
SK_7,SK
SK_8,SK
SK_9,SK
SK_10,SK
SK_11,SK
SK_12,SK
SK_13,SK
SK_14,SK
SK_15,SK
SK_16,SK
SK_17,SK
SK_18,SK
SK_19,SK
SK_20,SK
SK_21,SK
SK_22,SK
SK_23,SK
SK_24,SK
SK_25,SK
SK_26,SK
SK_27,SK
SK_28,SK
SK_29,SK
SK_30,SK
SK_31,SK
SK_32,SK
SK_33,SK
SK_34,SK
SK_35,SK
SK_36,SK
SK_37,SK
SK_38,SK
SK_39,SK
SK_40,SK
SK_41,SK
SK_42,SK
SK_43,SK
SK_44,SK
SK_45,SK
SK_46,SK
SK_47,SK
SK_48,SK
SK_49,SK
SK_50,SK
SK_51,SK
SK_52,SK
SK_53,SK
SK_54,SK
SK_55,SK
SK_56,SK
SK_57,SK
SK_58,SK
SK_59,SK
SK_60,SK
SK_61,SK
SK_62,SK
SK_63,SK
SK_64,SK
SK_65,SK
SK_66,SK
SK_67,SK
SK_68,SK
SK_69,SK
SK_70,SK
SK_71,SK
SK_72,SK
SK_73,SK
SK_74,SK
SK_75,SK
SD_1,SD
SD_2,SD
SD_3,SD
SD_4,SD
SD_5,SD
SD_6,SD
SD_7,SD
SD_8,SD
SD_9,SD
SD_10,SD
SD_11,SD
SD_12,SD
SD_13,SD
SD_14,SD
SD_15,SD
SD_16,SD
SD_17,SD
SD_18,SD
SD_19,SD
SD_20,SD
SD_21,SD
SD_22,SD
SD_23,SD
SD_24,SD
SD_25,SD
SD_26,SD
SD_27,SD
SD_28,SD
SD_29,SD
SD_30,SD
SD_31,SD
SD_32,SD
SD_33,SD
SD_34,SD
SD_35,SD
SD_36,SD
SD_37,SD
SD_38,SD
SD_39,SD
SD_40,SD
SD_41,SD
SD_42,SD
SD_43,SD
SD_44,SD
SD_45,SD
SD_46,SD
SD_47,SD
SD_48,SD
SD_49,SD
SD_50,SD
SD_51,SD
SD_52,SD
SD_53,SD
SD_54,SD
SD_55,SD
SD_56,SD
SD_57,SD
SD_58,SD
SD_59,SD
SD_60,SD
SD_61,SD
SD_62,SD
SD_63,SD
SD_64,SD
SD_65,SD
SD_66,SD
SD_67,SD
SD_68,SD
SD_69,SD
SD_70,SD
SD_71,SD
SD_72,SD
SD_73,SD
SD_74,SD
SD_75,SD
MB_1,MB
MB_2,MB
MB_3,MB
MB_4,MB
MB_5,MB
MB_6,MB
MB_7,MB
MB_8,MB
MB_9,MB
MB_10,MB
MB_11,MB
MB_12,MB
MB_13,MB
MB_14,MB
MB_15,MB
MB_16,MB
MB_17,MB
MB_18,MB
MB_19,MB
MB_20,MB
MB_21,MB
MB_22,MB
MB_23,MB
MB_24,MB
MB_25,MB
MB_26,MB
MB_27,MB
MB_28,MB
MB_29,MB
MB_30,MB
MB_31,MB
MB_32,MB
MB_33,MB
MB_34,MB
MB_35,MB
MB_36,MB
MB_37,MB
MB_38,MB
MB_39,MB
MB_40,MB
MB_41,MB
MB_42,MB
MB_43,MB
MB_44,MB
MB_45,MB
MB_46,MB
MB_47,MB
MC_1,MC
MC_2,MC
MC_3,MC
MC_4,MC
MC_5,MC
MC_6,MC
MC_7,MC
MC_8,MC
MC_9,MC
MC_10,MC
MC_11,MC
MC_12,MC
MC_13,MC
MC_14,MC
MC_15,MC
MC_16,MC
MC_17,MC
MC_18,MC
MC_19,MC
MC_20,MC
MC_21,MC
MC_22,MC
MC_23,MC
MC_24,MC
MC_25,MC
MC_26,MC
MC_27,MC
MC_28,MC
MC_29,MC
MC_30,MC
MC_31,MC
MC_32,MC
MC_33,MC
MC_34,MC
MC_35,MC
MC_36,MC
MC_37,MC
MC_38,MC
MC_39,MC
MC_40,MC
MC_41,MC
MC_42,MC
MC_43,MC
MC_44,MC
MC_45,MC
MC_46,MC
MC_47,MC
PK_1,PK
PK_2,PK
PK_3,PK
PK_4,PK
PK_5,PK
